time_bucket,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler
0,582160,150993,86265,30892,7790,26285,7140,14158,64728,73791,129889,78662,28290,81526,8810,54048,132148,64925,15080,33790,7889,5815,102212,2317,1161,11275,61714,34682,26635,2389,13762,3369,180379,23116,20362,18621,31595,18669,8968,42149,33867,19782,8397,6370,3451,17323,4715,4724,4419,4655,135986,18650,70793,40804,25728,16928,10075,3376,14148,4303,2175,6329,1579,41
1,512714,132359,75220,28910,6611,21948,5880,11869,57139,64411,113903,68346,25312,71325,7671,48344,116868,57770,12949,30109,6850,4705,88164,2486,1325,9774,54237,31501,22335,2174,11289,3146,156794,19673,17481,15850,28348,15940,6844,37448,30346,18845,8479,5545,3316,16394,4404,4720,4225,4306,121690,17215,62060,37507,23294,14359,8894,3673,12599,3562,2129,5941,1517,17
2,508853,130902,74289,28238,6731,21046,5478,12796,56613,63758,113389,68693,24543,71677,7478,48053,116379,57447,13150,29514,6430,5089,86426,2509,1220,9749,54594,31345,22880,2051,11909,2958,156310,19173,17256,15652,28919,15663,7139,37564,30113,18245,7693,5589,3407,17064,4731,4354,4212,5012,120344,17158,61629,36533,23172,14398,9700,3964,13011,3172,2187,5658,1430,30
3,485623,124521,69950,25561,6505,19695,6600,11588,54571,61395,108963,65620,24310,67704,7452,45479,111318,54478,12222,28349,5974,3429,83000,2077,1041,8938,50704,28944,21413,2421,10606,2706,151406,18663,16632,15354,27876,15026,7196,36247,28740,17775,7890,5273,3396,12725,3667,3528,2781,3347,115644,17581,58575,34786,20441,13278,8542,3474,10183,2711,2152,5174,1269,23
4,446412,114894,65119,23903,6121,17431,7749,9915,49775,56974,100945,61428,22529,61792,7364,40672,102490,49136,11617,25318,5699,3249,75999,2125,1042,8418,46423,25991,20089,2020,10022,2587,139961,17140,16243,14790,24468,14219,6944,32744,26220,14865,6190,4634,3168,12011,3485,3508,2417,3235,104413,15795,53142,31301,18527,12879,7443,3364,10680,2245,2628,4686,1228,26
5,336408,85452,48223,18648,4406,12472,4993,7704,37229,42546,75082,45644,17648,45775,4947,31420,77769,37702,8405,19241,4397,2290,54931,1472,1011,5730,35013,20564,14194,1388,7085,1869,103714,12778,11021,10435,18650,10438,4569,25585,19596,11323,4709,3309,2339,9456,2559,2452,2153,2794,81132,12117,41685,24156,14461,9384,5690,2765,7957,1518,1418,3532,950,155
6,387168,97697,55243,21312,5786,15371,4007,8764,42454,48850,86909,52785,18308,54705,6196,35683,89030,44353,9841,22934,4963,2516,62673,1778,942,6533,40665,24455,15890,1723,7802,2150,121432,14257,13222,12565,21465,11971,5886,29845,23145,13056,5582,3601,2672,10982,2745,3740,2188,2959,92322,13663,47206,27251,17288,11577,6227,2518,9425,2100,1516,4014,1145,16
7,580581,147517,84457,34352,9101,22159,5400,13442,63060,69652,134096,82396,29643,81801,9962,53970,133652,66034,14715,34034,7580,3744,95603,2520,1375,10154,57240,33101,23719,3133,10102,3332,179239,21029,19261,18757,32082,17246,8165,44754,34484,17742,7219,5623,3669,20050,4152,9031,3095,4927,145568,20488,68975,49502,30731,17597,8823,4661,15228,2204,3036,5340,1532,19
8,907538,230871,130511,50176,15292,34415,10276,20348,100360,109336,209287,128653,46086,128197,15357,83940,208529,104838,23773,52100,11410,5936,153935,3667,2364,17534,93651,50613,42315,5059,20297,5343,288815,34561,32066,29960,51107,27542,13790,71949,54518,29533,12681,9504,5733,29307,7660,12798,4414,5533,221896,33843,105671,72803,44893,26661,13502,6474,18829,3158,6222,8454,2250,28
9,993228,250997,141637,52542,14619,36602,14010,23862,109360,122701,226876,139189,50379,139233,16056,91220,229635,114740,25929,56361,12213,7116,170158,4765,2460,19029,103212,55208,47239,5538,22410,6231,314833,38217,35186,32982,55545,29631,15500,77546,59644,33261,13904,10313,7188,33814,9780,14129,5080,6244,240873,36573,117260,76960,49298,29330,15640,6992,17363,4120,6897,9003,2631,30
10,667496,169307,96619,36041,8277,26310,10396,15589,72688,83198,152301,93245,33569,93157,11437,60262,154313,77135,16495,38369,8533,4680,112712,2770,1687,11140,69620,40330,28766,3139,14379,3866,209601,25417,23538,23025,38119,19989,10166,49953,39760,22798,10009,6856,4520,18369,5563,5877,3793,4129,159857,24366,77983,50296,31290,20268,10633,4611,13434,3056,2641,6422,1668,30
11,733075,184201,103919,39009,11472,26048,9877,17507,80282,89288,167674,103144,36185,103348,12627,67423,169415,84651,18762,43570,9006,5612,120416,3185,1794,12248,75634,43796,31291,3537,14519,4737,233241,28212,26037,25424,41463,22320,10476,57079,44244,24623,10572,7316,4764,20620,5849,7541,4109,4260,175412,28517,86147,52226,34012,23643,11010,4748,15461,2678,2949,7119,1808,11
12,984131,249181,142499,50974,17172,37133,14018,23200,106682,116322,222859,136557,47958,139468,15885,92112,229168,113905,25334,58478,11508,9413,159962,4084,2250,15541,102323,57795,43854,4628,19946,7490,307704,34123,35664,33459,55258,28801,13692,77538,58679,35778,11819,8423,12873,29864,9192,7567,5702,8817,245587,36836,119996,77176,41833,34143,13648,9412,21832,3557,3339,9458,2630,61
13,1473547,375079,213162,73830,22595,59493,19762,37476,161917,178798,338041,208161,73360,208077,25064,133293,338575,170299,40728,84639,17806,12216,258951,6064,3720,29095,155342,84113,69437,7582,33655,10136,473368,58295,55709,52674,81482,43636,24951,111688,90240,47001,17777,14247,12136,47285,14319,16560,8868,9984,340993,53915,162965,108061,71326,49094,20990,10308,33966,6170,6694,13576,3697,99
14,1157391,286235,159621,55876,16371,47175,11210,28986,126614,146321,265757,164406,55018,165575,20278,103278,267810,134903,31190,66515,14198,8613,200159,4826,3351,25538,121448,65668,54113,5302,28285,7271,375586,47331,44810,42794,66201,34302,19352,87747,72142,36187,14161,10902,8900,35213,9870,13418,8872,6698,274716,44937,132301,85380,61641,37516,16180,8267,29723,5566,6089,10484,2865,53
15,1325078,332546,191077,71092,17846,56337,13628,32167,141469,163732,301133,183507,62883,188895,21869,120504,305969,157408,34006,78311,15580,9557,226155,5975,4127,25427,135490,75659,58001,6721,28606,7599,426978,53319,48217,46315,77620,39029,20809,103327,82732,41799,15304,12717,10909,42728,11543,17624,8059,8513,318855,53090,155673,96508,60328,40699,20689,10190,27601,5380,5901,12139,3526,54
16,2424602,615736,346523,121782,32766,103521,27370,61076,269213,294256,560142,347622,107953,356424,41894,217154,549442,286601,67598,139760,27761,18501,438452,11626,7675,60241,256106,135435,117135,11822,61810,14288,794433,102910,93593,87988,139752,75969,40455,184202,152931,72808,28330,23402,16818,92157,21191,43266,27417,13855,547046,93582,263286,163983,108012,73207,30392,15627,47691,14259,12817,21287,6082,171
17,1687832,423755,238578,84442,22668,67161,23443,40858,185177,208382,387192,237933,79269,241704,30298,151770,387844,197561,45248,98007,19850,14062,292196,7175,4605,35602,178540,96246,80351,7961,42184,10149,545982,67541,62810,61189,97464,51464,26422,129101,104582,54224,21075,16784,13305,52971,14634,20332,13876,9914,398552,68507,195643,116516,74281,52886,25127,11284,34022,9220,8210,15785,4106,156
18,1668767,416245,237889,88645,22791,66086,20511,39849,178356,204325,379205,233059,82539,234448,27351,153461,385158,196948,43643,99122,19548,13042,280684,8291,4868,31567,174777,97402,75539,8153,37034,10477,528277,63339,58501,57411,95151,50301,24131,129418,102954,54731,20384,15915,14121,50408,13321,17905,11378,11387,409713,65914,200804,125080,79787,50739,27535,15499,41978,9085,7433,15636,4295,130
19,1659465,413352,235457,86320,22566,63226,22252,41080,177895,203064,377182,230418,77997,237100,27770,151989,386063,195434,42229,99631,19368,12774,285711,7929,4849,33017,175911,100824,73383,7640,36949,9966,529702,65280,59307,57745,95519,50267,24110,128816,100679,54162,21882,15929,11755,48327,12718,17207,12173,10504,401921,66252,200438,116951,80104,49190,26235,14237,42418,8631,5865,15886,4091,96
20,2425826,605695,337552,111277,35890,91889,32103,66375,268143,301319,559757,345258,114009,349225,43862,216543,555872,279928,66673,144396,28660,20347,433562,11402,5235,58839,255960,132011,121407,11713,64391,15280,795785,97389,95725,88864,136163,75876,46178,186083,147804,72575,27550,24103,17067,70892,20460,26938,19244,11279,552558,89951,271283,166650,123003,73261,32548,17686,62663,13639,17110,21713,5989,147
21,2767892,697212,395194,135801,42530,101997,36246,78612,302018,340186,637748,392846,128357,400167,49908,247374,636128,321794,73349,161904,31210,22719,486660,13840,6765,59559,289878,158055,128864,14068,65000,17434,892185,109543,103280,100513,152030,85136,44313,215505,167224,85440,34695,26055,20068,84292,22327,33700,26957,12502,649214,105749,313663,197696,130122,87221,38001,20033,64008,17817,12367,24222,6706,136
22,2489356,636033,360281,118121,34661,96615,39685,71181,275752,302853,573671,350666,119177,359318,42229,222319,571156,285758,66709,146105,29489,20687,459078,12033,6482,56204,267880,145071,120075,12045,62091,15448,803305,101677,94392,87365,137175,78345,39517,189346,149282,76852,30718,25235,16329,70052,20286,24708,19607,12226,568836,96488,280134,166431,130988,76282,36668,16460,67078,16405,10346,22589,6205,138
23,2694761,693060,394488,134949,36920,108582,38986,75033,298572,320884,624220,379783,128303,391809,46643,243111,614101,313228,73874,158460,31394,21787,495993,12142,7309,62467,294086,158462,132343,13046,67165,18080,875989,108915,103678,98472,149449,83953,44073,204179,164929,84984,34246,27747,18038,73960,21327,27519,21315,11203,611444,101640,298069,183524,128132,85967,39826,16901,59958,17364,11529,24897,6685,215
24,695335,173357,98020,34968,11448,25224,6157,20219,75337,85996,154898,94975,33611,97007,10323,63737,162313,80487,18758,41684,8369,5748,118773,3592,1584,15500,69912,38108,31310,3354,14754,4647,219505,25220,25028,22318,38303,21450,10323,55090,41483,22437,8287,6160,6431,20218,5490,6513,5085,4684,169867,25971,84229,51409,31623,21891,9959,6017,14610,5469,2469,6340,1730,43

